Benchmark_Type; Integer_Type; Vector_Size; Thread_Count; Count; Bandwidth
0;4; 16384; 4; 17860; 3.66943
0;4; 16384; 8; 24327; 5.38792
0;4; 16384; 16; 33134; 7.91163
0;4; 16384; 32; 58533; 8.95714
0;4; 131072; 1; 127337; 1.02933
0;4; 131072; 2; 128638; 2.03784
0;4; 131072; 4; 131533; 3.98598
0;4; 131072; 8; 160718; 6.52432
0;4; 131072; 16; 243512; 8.61211
0;4; 131072; 32; 434019; 9.66387
0;4; 1048576; 1; 1032871; 1.01521
0;4; 1048576; 2; 1053803; 1.99008
0;4; 1048576; 4; 1104890; 3.79613
0;4; 1048576; 8; 1748242; 4.79831
0;4; 1048576; 16; 2017123; 8.3174
0;4; 1048576; 32; 4792963; 7.00077
0;4; 8388608; 1; 8073503; 1.03903
0;4; 8388608; 2; 8530166; 1.96681
0;4; 8388608; 4; 8549445; 3.92475
0;4; 8388608; 8; 9476246; 7.0818
0;4; 8388608; 16; 16189831; 8.29025
0;4; 8388608; 32; 39034009; 6.87696
0;4; 67108864; 1; 65437972; 1.02553
0;4; 67108864; 2; 68305621; 1.96496
0;4; 67108864; 4; 69024947; 3.88896
0;4; 67108864; 8; 72428996; 7.41238
0;4; 67108864; 16; 128439122; 8.35993
0;4; 67108864; 32; 290976670; 7.38026
0;4; 536870912; 1; 522505716; 1.02749
0;4; 536870912; 2; 544783824; 1.97095
0;4; 536870912; 4; 549496044; 3.9081
0;4; 536870912; 8; 567331804; 7.57047
0;4; 536870912; 16; 1030931395; 8.33221
0;4; 536870912; 32; 1988592122; 8.63921
0;8; 32; 1; 687; 0.0465793
0;8; 32; 2; 891; 0.0718294
0;8; 32; 4; 600; 0.213333
0;8; 32; 8; 959; 0.266945
0;8; 32; 16; 1395; 0.367025
0;8; 32; 32; 1363; 0.751284
0;8; 256; 1; 773; 0.331177
0;8; 256; 2; 809; 0.63288
0;8; 256; 4; 873; 1.17297
0;8; 256; 8; 1170; 1.75043
0;8; 256; 16; 1671; 2.45123
0;8; 256; 32; 1569; 5.22116
0;8; 2048; 1; 1339; 1.5295
0;8; 2048; 2; 1490; 2.74899
0;8; 2048; 4; 1603; 5.11042
0;8; 2048; 8; 2220; 7.38018
0;8; 2048; 16; 3812; 8.59601
0;8; 2048; 32; 3894; 16.83
0;8; 16384; 1; 5265; 3.11187
0;8; 16384; 2; 5428; 6.03685
0;8; 16384; 4; 6039; 10.8521
0;8; 16384; 8; 33853; 3.8718
0;8; 16384; 16; 14231; 18.4206
0;8; 16384; 32; 18194; 28.8165
0;8; 131072; 1; 39646; 3.30606
0;8; 131072; 2; 37770; 6.94053
0;8; 131072; 4; 45911; 11.4197
0;8; 131072; 8; 69312; 15.1283
0;8; 131072; 16; 97135; 21.5901
0;8; 131072; 32; 148315; 28.2797
0;8; 1048576; 1; 291056; 3.60266
0;8; 1048576; 2; 305961; 6.85431
0;8; 1048576; 4; 432315; 9.70196
0;8; 1048576; 8; 442217; 18.9694
0;8; 1048576; 16; 790314; 21.2285
0;8; 1048576; 32; 1682079; 19.9482
0;8; 8388608; 1; 2288644; 3.66532
0;8; 8388608; 2; 2561706; 6.54924
0;8; 8388608; 4; 2662448; 12.6028
0;8; 8388608; 8; 3691286; 18.1803
0;8; 8388608; 16; 6426735; 20.8843
0;8; 8388608; 32; 14508562; 18.5019
0;8; 67108864; 1; 18164153; 3.69458
0;8; 67108864; 2; 19954904; 6.72605
0;8; 67108864; 4; 21361026; 12.5666
0;8; 67108864; 8; 30228978; 17.7601
0;8; 67108864; 16; 49730865; 21.5911
0;8; 67108864; 32; 113778977; 18.8742
0;8; 536870912; 1; 145322301; 3.69435
0;8; 536870912; 2; 161286071; 6.65737
0;8; 536870912; 4; 173785160; 12.3571
0;8; 536870912; 8; 211276443; 20.3287
0;8; 536870912; 16; 397024450; 21.6358
0;8; 536870912; 32; 824584140; 20.8346
