Operation; Type; #Tuples
Table Scan; SIMD; 649644563
Table Scan; Bit-Packed; 306808038
Table Scan; Regular Vector; 395129024
Point Lookups; Bit-Packed; 29639793
Point Lookups; Regular Vector; 19587860
Point Lookups; Bit-Packed w/ SIMD; 35468567
Point Lookups; Regular Vector w/ SIMD; 16673025
